Package,LibPath,Version,Priority,Built
ggseg,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.6.6,NA,4.3.1
ggseg3d,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.6.3,NA,4.3.1
ggsegExtra,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.5.33.004,NA,4.3.1
gh,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.4.0,NA,4.3.0
gitcreds,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.1.2,NA,4.3.0
glue,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.6.2,NA,4.3.0
graphics,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,4.3.1,base,4.3.1
graphlayouts,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.0.0,NA,4.3.0
grDevices,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,4.3.1,base,4.3.1
grid,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,4.3.1,base,4.3.1
gridExtra,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.3,NA,4.3.1
gtable,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.3.4,NA,4.3.1
here,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.0.1,NA,4.3.0
highr,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.10,NA,4.3.0
hms,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.1.3,NA,4.3.0
htmltools,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.5.6,NA,4.3.0
htmlwidgets,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.6.2,NA,4.3.0
httpuv,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.6.11,NA,4.3.0
httr,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.4.7,NA,4.3.1
httr2,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.2.3,NA,4.3.0
hunspell,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,3.0.2,NA,4.3.0
igraph,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.5.1,NA,4.3.0
ini,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.3.1,NA,4.3.0
isoband,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.2.7,NA,4.3.1
janitor,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.2.0,NA,4.3.0
jpeg,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.1-10,NA,4.3.0
jquerylib,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.1.4,NA,4.3.0
jsonify,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.2.2,NA,4.3.0
jsonlite,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.8.7,NA,4.3.0
KernSmooth,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.23-21,recommended,4.3.1
knitr,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.43,NA,4.3.0
labeling,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.4.3,NA,4.3.1
languageserver,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.3.16,NA,4.3.0
later,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.3.1,NA,4.3.0
lattice,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.21-8,recommended,4.3.1
lazyeval,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.2.2,NA,4.3.0
lifecycle,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.0.3,NA,4.3.0
lintr,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,3.1.0,NA,4.3.0
lubridate,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.9.2,NA,4.3.0
lwgeom,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.2-13,NA,4.3.0
magick,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.7.5,NA,4.3.0
magrittr,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.0.3,NA,4.3.0
markdown,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.8,NA,4.3.0
MASS,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,7.3-60,recommended,4.3.1
Matrix,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.5-4.1,recommended,4.3.1
